household_id,transaction_amount,transaction_type
HH_00000,70.39021349652886,Debit
HH_00001,451.51821463762815,Debit
HH_00002,197.5118540318174,Credit
HH_00003,136.94138306639297,Credit
HH_00004,25.443730569351942,Debit
HH_00005,25.439443787190775,Debit
HH_00006,8.975815291302101,Credit
HH_00007,301.68462967199093,Debit
HH_00008,137.8623230440897,Debit
HH_00009,184.68750925568855,Credit
HH_00010,3.1198961998707935,Debit
HH_00011,525.5336212737468,Credit
HH_00012,267.96443150320124,Debit
HH_00013,35.80314378734205,Debit
HH_00014,30.101848312449505,Debit
HH_00015,30.391713424838557,Credit
HH_00016,54.413059419071566,Debit
HH_00017,111.58917462912817,Credit
HH_00018,84.8305600170505,Debit
HH_00019,51.633448883091226,Debit
HH_00020,141.9556310849698,Debit
HH_00021,22.5351793091008,Credit
HH_00022,51.82732680036034,Debit
HH_00023,68.44158273312706,Credit
HH_00024,91.34020317896625,Debit
HH_00025,230.6904016546368,Credit
HH_00026,33.410379319303544,Credit
HH_00027,108.30437325496915,Credit
HH_00028,134.62570819646407,Credit
HH_00029,7.134577463461282,Credit
HH_00030,140.29995309744152,Credit
HH_00031,28.044187796612462,Debit
HH_00032,10.089589631895636,Debit
HH_00033,446.0531690260396,Credit
HH_00034,505.59455136917586,Credit
HH_00035,247.8497359219315,Debit
HH_00036,54.49317899531374,Credit
HH_00037,15.416597250375936,Debit
HH_00038,172.91261446479928,Debit
HH_00039,87.01362638780975,Debit
HH_00040,19.522835093167295,Debit
HH_00041,102.53208422012253,Debit
HH_00042,5.249058216521862,Credit
HH_00043,360.0634331089536,Credit
HH_00044,44.91866652610291,Credit
HH_00045,162.93836978474704,Debit
HH_00046,56.03198724864355,Debit
HH_00047,110.11663438638429,Debit
HH_00048,118.68356969726963,Credit
HH_00049,30.658289926185862,Debit
HH_00050,523.921069910434,Credit
HH_00051,223.8368065707211,Debit
HH_00052,420.76416289373736,Debit
HH_00053,337.8227996301295,Debit
HH_00054,136.65816185749125,Debit
HH_00055,382.41530689041076,Debit
HH_00056,13.898318842967344,Debit
HH_00057,32.72020419469012,Credit
HH_00058,6.942294853024793,Credit
HH_00059,59.029813020463024,Debit
HH_00060,73.81954376913279,Debit
HH_00061,47.48406648132386,Debit
HH_00062,264.6836797861401,Credit
HH_00063,66.18404992948052,Debit
HH_00064,49.47042602013738,Credit
HH_00065,117.3610624811619,Debit
HH_00066,22.784722173094327,Debit
HH_00067,243.0725393662097,Debit
HH_00068,11.621380321696352,Debit
HH_00069,650.1219509380979,Debit
HH_00070,221.9225664362267,Debit
HH_00071,33.230916075882895,Debit
HH_00072,0.8306130563903212,Debit
HH_00073,253.4845166229189,Debit
HH_00074,184.0643861080567,Credit
HH_00075,195.84943631819985,Credit
HH_00076,221.282178906527,Credit
HH_00077,11.539389827069453,Debit
HH_00078,66.58390086243487,Credit
HH_00079,18.472515690667446,Debit
HH_00080,298.2794357487334,Credit
HH_00081,146.4451787568561,Credit
HH_00082,60.272820187695146,Credit
HH_00083,9.850209870717434,Debit
HH_00084,55.87325256155306,Credit
HH_00085,58.9971319776197,Credit
HH_00086,196.18136759366112,Debit
HH_00087,152.233403838903,Debit
HH_00088,327.3377868602272,Debit
HH_00089,95.85992000644647,Debit
HH_00090,19.105859042325285,Debit
HH_00091,187.36895164748992,Debit
HH_00092,214.55891296152961,Debit
HH_00093,123.58312423287433,Credit
HH_00094,221.08349500820466,Credit
HH_00095,102.12220972654168,Credit
HH_00096,110.95182581659006,Debit
HH_00097,83.6721290862641,Debit
HH_00098,3.862166098517059,Debit
HH_00099,17.125115278779877,Debit
HH_00100,4.790052193958074,Debit
HH_00101,151.75943263913243,Debit
HH_00102,56.60950631926497,Debit
HH_00103,106.56557657012851,Debit
HH_00104,357.1898294768963,Credit
HH_00105,43.01082344749475,Debit
HH_00106,79.24229623240089,Debit
HH_00107,211.3123721307875,Debit
HH_00108,38.970773537609105,Debit
HH_00109,12.015641782526455,Credit
HH_00110,51.32104558305856,Credit
HH_00111,26.37125377500943,Credit
HH_00112,398.2425128820937,Debit
HH_00113,247.63306207268542,Debit
HH_00114,150.52412857807965,Debit
HH_00115,307.72795957812195,Debit
HH_00116,244.19534111108345,Credit
HH_00117,30.97432145379586,Credit
HH_00118,334.62201078533417,Debit
HH_00119,116.2649852949258,Debit
HH_00120,247.10224369553492,Debit
HH_00121,339.63639739293467,Debit
HH_00122,57.40960746274777,Credit
HH_00123,17.488824018577624,Credit
HH_00124,38.8030119209072,Credit
HH_00125,83.55865391229216,Credit
HH_00126,255.57445899584175,Debit
HH_00127,295.701745781975,Debit
HH_00128,1.046461377247597,Debit
HH_00129,107.23142390078337,Debit
HH_00130,81.0409981378007,Debit
HH_00131,37.675100741373676,Debit
HH_00132,19.15205873184702,Debit
HH_00133,61.78628697936487,Credit
HH_00134,429.46816840367245,Debit
HH_00135,58.55757043222116,Debit
HH_00136,109.71792086402279,Debit
HH_00137,182.11304653212824,Debit
HH_00138,67.79617484504435,Debit
HH_00139,535.169720743755,Credit
HH_00140,492.3014796812097,Debit
HH_00141,43.509194248830795,Debit
HH_00142,103.14889176957708,Debit
HH_00143,53.68956901185702,Credit
HH_00144,50.287451457162256,Debit
HH_00145,5.63767166482838,Debit
HH_00146,141.07381064738897,Debit
HH_00147,104.77794492444578,Credit
HH_00148,7.927663107058872,Debit
HH_00149,48.9938881515554,Credit
HH_00150,358.32914266340106,Debit
HH_00151,41.07908282131156,Credit
HH_00152,23.479629147820464,Debit
HH_00153,100.84081642104543,Debit
HH_00154,636.6055473922889,Credit
HH_00155,41.57172203395893,Credit
HH_00156,167.27325154459402,Credit
HH_00157,215.08314393591942,Debit
HH_00158,40.69997585037087,Debit
HH_00159,195.41233927384744,Debit
HH_00160,68.7784198896456,Debit
HH_00161,150.0755621597657,Debit
HH_00162,150.57567407064573,Debit
HH_00163,115.10778749285232,Debit
HH_00164,14.194373821743143,Credit
HH_00165,270.54671913694455,Debit
HH_00166,58.02154405010949,Credit
HH_00167,30.96481599113348,Debit
HH_00168,6.244463969151781,Credit
HH_00169,134.06676068918753,Credit
HH_00170,169.77776014010232,Credit
HH_00171,2.509042133770593,Debit
HH_00172,107.64458768242325,Credit
HH_00173,38.523622058243646,Debit
HH_00174,155.4186512321538,Credit
HH_00175,28.740633380870065,Credit
HH_00176,176.13187913515787,Credit
HH_00177,73.34380514716527,Credit
HH_00178,414.05157267064607,Debit
HH_00179,22.19166201589184,Credit
HH_00180,62.56986509927576,Credit
HH_00181,18.066642755549463,Credit
HH_00182,387.92855957260855,Credit
HH_00183,314.7500560741491,Debit
HH_00184,44.749105509223334,Debit
HH_00185,161.8144108565872,Credit
HH_00186,254.9226108958832,Credit
HH_00187,121.51985410297621,Debit
HH_00188,113.14191152909191,Credit
HH_00189,41.53155681568547,Debit
HH_00190,14.658921071241108,Debit
HH_00191,341.26848377917844,Credit
HH_00192,346.016164147264,Credit
HH_00193,150.40048792243272,Credit
HH_00194,62.10697647169859,Debit
HH_00195,64.4351423717466,Credit
HH_00196,194.1698144590677,Debit
HH_00197,341.11460236608787,Debit
HH_00198,327.169885409492,Credit
HH_00199,227.03432878963548,Credit
HH_00200,154.09660403515574,Debit
HH_00201,13.183758929412608,Credit
HH_00202,26.444132202511724,Credit
HH_00203,343.23457502662586,Debit
HH_00204,139.87409204483842,Credit
HH_00205,1.3859408416491614,Debit
HH_00206,16.0495352153924,Credit
HH_00207,163.37435809353613,Debit
HH_00208,0.7611655577695504,Debit
HH_00209,26.29737241562986,Credit
HH_00210,119.35467692083975,Credit
HH_00211,176.5972929982219,Credit
HH_00212,158.3162223202873,Debit
HH_00213,38.09248009620367,Debit
HH_00214,186.81259333478084,Credit
HH_00215,40.623563857920885,Debit
HH_00216,59.045236337712666,Debit
HH_00217,205.8536327498686,Debit
HH_00218,157.3160721454152,Credit
HH_00219,283.79341161951015,Debit
HH_00220,160.77199322546437,Debit
HH_00221,126.00664583808862,Debit
HH_00222,14.753559217261573,Credit
HH_00223,68.762446081053,Credit
HH_00224,46.224022178824676,Debit
HH_00225,41.95503054936319,Debit
HH_00226,541.8464109244388,Credit
HH_00227,74.90812455600357,Debit
HH_00228,333.9082816872784,Credit
HH_00229,149.60015786047248,Credit
HH_00230,237.57378790325998,Credit
HH_00231,104.76529865831556,Credit
HH_00232,129.02338539623776,Debit
HH_00233,101.74401500125401,Credit
HH_00234,32.58223429878577,Credit
HH_00235,192.26427045987057,Debit
HH_00236,49.436605254939444,Credit
HH_00237,3.692472162103292,Debit
HH_00238,155.54531794429107,Debit
HH_00239,29.240035533723404,Credit
HH_00240,423.1624720909955,Credit
HH_00241,461.63436191820347,Debit
