household_id,credit_score,debt_to_income_ratio,delinquency_flag_90d
HH_00000,598,0.3696653223915003,1
HH_00001,604,0.1126009285329492,0
HH_00002,632,0.21998490752024827,0
HH_00003,803,0.2874065077719933,0
HH_00004,629,0.49057352888451733,0
HH_00005,584,0.3020806064716933,0
HH_00006,642,0.11699428241597834,0
HH_00007,583,0.22103748915012514,1
HH_00008,735,0.5023210813693438,0
HH_00009,662,0.29417294583631726,0
HH_00010,804,0.21666950067845966,1
HH_00011,747,0.29039560860060276,0
HH_00012,771,0.5302873354126632,0
HH_00013,665,0.17481960764628848,1
HH_00014,805,0.41632278961300817,0
HH_00015,758,0.46825534509546196,0
HH_00016,695,0.31205073006296546,0
HH_00017,638,0.13639543817424774,0
HH_00018,705,0.5380825633013115,0
HH_00019,749,0.22794208387449158,1
HH_00020,748,0.5833862494785316,0
HH_00021,705,0.21254025681971725,0
HH_00022,755,0.3050679967746791,0
HH_00023,809,0.40599033494156456,0
HH_00024,604,0.48615953243726695,0
HH_00025,781,0.5611127220226357,0
HH_00026,700,0.2986673941209269,1
HH_00027,780,0.5426828862298506,0
HH_00028,686,0.188717860083679,0
HH_00029,594,0.4759056083879539,0
HH_00030,695,0.4517753489442966,1
HH_00031,731,0.5040591571555051,0
HH_00032,707,0.5282284885979225,0
HH_00033,754,0.297991719487937,0
HH_00034,599,0.40325488130201614,0
HH_00035,681,0.47898465703587567,0
HH_00036,627,0.5088797101178596,0
HH_00037,725,0.28199177014370425,0
HH_00038,713,0.3811518399781053,0
HH_00039,693,0.39504490549851645,0
HH_00040,601,0.28483667694016623,1
HH_00041,752,0.5701705141036824,0
HH_00042,710,0.19999405385714505,0
HH_00043,703,0.45466340964615404,0
HH_00044,788,0.43049717019355216,0
HH_00045,761,0.5022688996009691,1
HH_00046,639,0.5830039136727803,0
HH_00047,737,0.5480040862691479,1
HH_00048,635,0.5255113082437278,0
HH_00049,814,0.470283799482062,0
HH_00050,604,0.22508864491546451,0
HH_00051,768,0.5499974771196525,0
HH_00052,727,0.34806546851596676,0
HH_00053,772,0.3505218090551063,0
HH_00054,741,0.2630445403375461,0
HH_00055,618,0.2691474426450935,0
HH_00056,587,0.3732520946192929,1
HH_00057,813,0.5095544777929792,0
HH_00058,586,0.47087688034846975,0
HH_00059,696,0.44243301910851474,0
HH_00060,621,0.5730262339493427,0
HH_00061,645,0.20232478317771843,0
HH_00062,770,0.5773745492746166,0
HH_00063,663,0.33515080695281274,0
HH_00064,652,0.1022151597711172,0
HH_00065,722,0.11556917245013923,0
HH_00066,624,0.1243075136820582,0
HH_00067,794,0.39704895599945167,1
HH_00068,587,0.3191932663073471,0
HH_00069,694,0.4697254369030577,0
HH_00070,787,0.49532644788923985,0
HH_00071,599,0.3887982199675277,0
HH_00072,635,0.48771694420944667,1
HH_00073,621,0.41757953614984356,0
HH_00074,641,0.44961289887760414,0
HH_00075,596,0.4833074365114376,0
HH_00076,806,0.3821270426245087,0
HH_00077,634,0.45671043910273246,0
HH_00078,733,0.16754425700102518,0
HH_00079,723,0.5179883029348548,0
HH_00080,793,0.588490120394093,0
HH_00081,634,0.3375355700433137,0
HH_00082,670,0.5393844987124421,1
HH_00083,804,0.25492875171399665,0
HH_00084,708,0.2367715159282103,0
HH_00085,603,0.17339599960856042,0
HH_00086,797,0.34786676583460396,0
HH_00087,671,0.5706496984332344,0
HH_00088,720,0.11550181540889295,0
HH_00089,793,0.2989115666399823,0
HH_00090,693,0.3777753240801375,0
HH_00091,730,0.5957456817611188,0
HH_00092,800,0.5608103950537284,0
HH_00093,722,0.24808801976567604,0
HH_00094,711,0.2512072244025261,1
HH_00095,801,0.4825171729416199,0
HH_00096,755,0.39504795284031546,0
HH_00097,752,0.48076903705102536,0
HH_00098,689,0.5631568238358249,0
HH_00099,799,0.15221847857800955,0
HH_00100,798,0.1255865862034741,0
HH_00101,690,0.4568253431492677,0
HH_00102,691,0.23895841724731073,0
HH_00103,672,0.5328585926033161,0
HH_00104,740,0.17668945639475644,0
HH_00105,760,0.19672908852368945,0
HH_00106,670,0.16349732167262268,0
HH_00107,637,0.5691327692185298,0
HH_00108,819,0.3183629742506511,0
HH_00109,725,0.5956717303987688,1
HH_00110,810,0.19509604193510952,0
HH_00111,712,0.34587361579687315,1
HH_00112,779,0.4705102026195075,0
HH_00113,649,0.35676155780763397,1
HH_00114,632,0.48336238550706934,0
HH_00115,694,0.33643721417246386,0
HH_00116,685,0.3674831127422895,0
HH_00117,794,0.18292206926779334,0
HH_00118,677,0.5593428683034611,0
HH_00119,700,0.18068081986003534,0
HH_00120,669,0.47592094961730846,0
HH_00121,695,0.49444302853023736,0
HH_00122,755,0.45319817976396815,0
HH_00123,588,0.25983972257348464,0
HH_00124,797,0.3553929534566851,0
HH_00125,778,0.4380658751114962,0
HH_00126,708,0.17476658466822206,0
HH_00127,631,0.19473690375802402,0
HH_00128,661,0.4626588885307418,0
HH_00129,634,0.5975478890862477,1
HH_00130,617,0.16776501061282847,0
HH_00131,616,0.1618887531040559,0
HH_00132,719,0.2163624178210415,0
HH_00133,686,0.444252331173864,0
HH_00134,779,0.45516391918675203,0
HH_00135,627,0.47466795566893705,0
HH_00136,774,0.29523253943457517,1
HH_00137,800,0.22598557078852008,0
HH_00138,654,0.29996102607614106,0
HH_00139,648,0.566606031467955,0
HH_00140,631,0.565925368520598,0
HH_00141,702,0.39651120603409784,1
HH_00142,747,0.5894918333264093,0
HH_00143,786,0.5660104845667469,0
HH_00144,684,0.22650355141348563,1
HH_00145,813,0.10446317900037586,0
HH_00146,617,0.3486130053335157,0
HH_00147,790,0.386554685732044,0
HH_00148,650,0.18732439691833733,0
HH_00149,687,0.13214852875698982,0
HH_00150,814,0.34093134916505374,0
HH_00151,609,0.24071129272351485,0
HH_00152,808,0.1612996600806159,0
HH_00153,626,0.34390675091028766,1
HH_00154,722,0.43784656811384604,0
HH_00155,582,0.5961549197600512,0
HH_00156,717,0.21584619798478652,0
HH_00157,670,0.15531496002658865,0
